,ranking,points,tournamentsPlayed,movement,rankedAt,player.id,player.firstName,player.lastName,player.fullName,player.countryCode,player.dateOfBirth,player.metadata
0,101,667,22,0,2023-07-03T00:00:00Z,110536,Kaia,Kanepi,Kaia Kanepi,EST,1985-06-10,
1,102,651,12,0,2023-07-03T00:00:00Z,331809,Mirra,Andreeva,Mirra Andreeva,RUS,2007-04-29,
2,103,650,23,0,2023-07-03T00:00:00Z,325940,Jule,Niemeier,Jule Niemeier,GER,1999-08-12,
3,104,647,24,0,2023-07-03T00:00:00Z,325320,Clara,Burel,Clara Burel,FRA,2001-03-24,
4,105,642,29,0,2023-07-03T00:00:00Z,314359,Nuria,Parrizas Diaz,Nuria Parrizas Diaz,ESP,1991-07-15,
5,106,642,27,0,2023-07-03T00:00:00Z,324325,Yue,Yuan,Yue Yuan,CHN,1998-09-25,
6,107,639,17,0,2023-07-03T00:00:00Z,318609,Taylor,Townsend,Taylor Townsend,USA,1996-04-16,
7,108,639,22,20,2023-07-03T00:00:00Z,323802,Jodie,Burrage,Jodie Burrage,GBR,1999-05-28,
8,109,637,30,-1,2023-07-03T00:00:00Z,329409,Ashlyn,Krueger,Ashlyn Krueger,USA,2004-05-07,
9,110,635,27,-1,2023-07-03T00:00:00Z,322942,Anna,Bondar,Anna Bondar,HUN,1997-05-27,
10,111,634,27,-1,2023-07-03T00:00:00Z,323149,Lucrezia,Stefanini,Lucrezia Stefanini,ITA,1998-05-15,
11,112,628,24,-1,2023-07-03T00:00:00Z,312536,Yanina,Wickmayer,Yanina Wickmayer,BEL,1989-10-20,
12,113,627,34,-1,2023-07-03T00:00:00Z,319436,Oceane,Dodin,Oceane Dodin,FRA,1996-10-24,
13,114,624,28,0,2023-07-03T00:00:00Z,312328,Madison,Brengle,Madison Brengle,USA,1990-04-03,
14,115,621,28,-2,2023-07-03T00:00:00Z,318060,Tereza,Martincova,Tereza Martincova,CZE,1994-10-24,
15,116,616,28,-1,2023-07-03T00:00:00Z,325771,Simona,Waltert,Simona Waltert,SUI,2000-12-13,
16,117,616,31,-1,2023-07-03T00:00:00Z,320728,Kimberly,Birrell,Kimberly Birrell,AUS,1998-04-29,
17,118,614,26,-1,2023-07-03T00:00:00Z,320735,Aliona,Bolsova,Aliona Bolsova,ESP,1997-11-06,
18,119,609,11,-1,2023-07-03T00:00:00Z,313796,Anastasia,Pavlyuchenkova,Anastasia Pavlyuchenkova,RUS,1991-07-03,
19,120,608,23,-1,2023-07-03T00:00:00Z,322534,Kayla,Day,Kayla Day,USA,1999-09-28,
20,121,606,26,8,2023-07-03T00:00:00Z,320926,Jil,Teichmann,Jil Teichmann,SUI,1997-07-15,
21,122,603,30,-2,2023-07-03T00:00:00Z,319571,Tamara,Korpatsch,Tamara Korpatsch,GER,1995-05-12,
22,123,601,20,-2,2023-07-03T00:00:00Z,321454,Greet,Minnen,Greet Minnen,BEL,1997-08-14,
